Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
The Urth of the New Sun,Gene Wolfe,1987,"Tor Books (Tom Doherty Associates, Inc.), New York",Science Fiction / Dying Earth,The Book of the New Sun (coda),Hardcover with dust jacket,372,0-312-93033-X,First Edition,"First Printing, November 1987 (full number line to 1)",$40,"Uncommon; coda to a highly regarded genre classic, active collector demand",8.14,"Shelf worn, protected dust jacket, great shape | protectedDJ","Coda to Gene Wolfe's Book of the New Sun tetralogy, following Severian, now Autarch of Urth, on a journey across time and space to determine the fate of his dying world",,Own
The Vampire Armand,Anne Rice,1998,"Alfred A. Knopf, New York",Horror / Gothic Fiction / Vampire Fiction,"The Vampire Chronicles, Book 6",Hardcover,388,0-679-45447-0,First Trade Edition,First Printing,$8,"Common; large first printing (750,000 copies), widely available, not scarce",7.42,"Fine, hasDJ | Fine book; Near Fine dust jacket, protected","Sixth novel in The Vampire Chronicles, telling the story of Armand, the angel-faced leader of the Theatre des Vampires, from his enslavement as a child in Renaissance Venice through centuries of immortal existence to a modern reckoning with faith and salvation in New Orleans.",,Own
The Voyage of the Space Beagle,A. E. van Vogt,1950,"Timescape Books (Pocket Books, Simon & Schuster), New York",Science Fiction / Golden Age SF,,Paperback,,,Timescape Books Edition,1981 Pocket Books/Timescape printing,$7,"Common; widely reprinted Golden Age SF paperback, not scarce",7.68,"Near Mint, hasDJ | Near Mint book and dust jacket","A landmark of Golden Age science fiction, this episodic novel follows the crew of the exploration ship Space Beagle as they encounter a series of terrifying and inventive alien life forms on a long voyage into deep space, widely regarded as a foundational influence on later works including Star Trek and Alien.",,Own
"The War of the Ring: The History of the Lord of the Rings, Part Three",J.R.R. Tolkien,1990,"Houghton Mifflin Company, Boston",Fantasy / Literary Criticism / Mythology,"The History of Middle-earth, Vol. 8",Hardcover with dust jacket,476,0-395-56008-X,First Edition (US),First Printing (full number line to 1),$18,Common; ex-library copy caps collector value regardless of printing status,8.30,"Very Good, exLibrary | Excellent condition overall; ex-library copy with Akron-Summit County Public Library (McDowell Branch) catalog card pocket and due-date stamp | hasDJ","Eighth volume of Christopher Tolkien's History of Middle-earth, the third installment covering the drafting history of The Lord of the Rings — from the Battle of Helm's Deep through the unforeseen emergence of Faramir and the palantír, illustrated with evolving plans of Orthanc, Dunharrow, Minas Tirith, and Shelob's Lair. Ex-library copy, formerly held by Akron-Summit County Public Library, McDowell Branch (Akron, Ohio); last checked out September 7, 1994.",,Own
The Wreck of the River of Stars,Michael Flynn,2003,Tor,Science Fiction,,Paperback,480,978-0-7653-3419-0,First Trade Paperback Edition,March 2013,,Common; multiple paperback printings with modest used-copy pricing,7.3,Good | noDJ: trade paperback with wear consistent with reading copy,"Aboard the aging tramp freighter River of Stars, once the grandest of the great magnetic-sail liners, a catastrophic engine failure forces its misfit crew to choose between practical repair and a doomed, glorious final voyage under sail. A standalone hard science fiction novel by Michael Flynn.",No,
The Yellow Admiral,Patrick O'Brian,1996,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 18",Paperback,262,0-393-31704-8,Norton Paperback Edition,1997 Norton paperback printing (number line to 2),$7,"Common; widely printed installment in a major historical fiction series, not scarce",8.74,"Near Fine, noDJ | Near Fine; trade paperback, no dust jacket as issued","Eighteenth novel in the Aubrey-Maturin series, finding Jack Aubrey beset by troubles ashore — debts, a land dispute, a strained marriage, and the threat of being 'yellowed' out of active naval command — even as Napoleon's escape from Elba draws him back to sea. Cover art by Geoff Hunt.",,Own
Theodore Boone: Kid Lawyer,John Grisham,2010,"Dutton Children's Books (Penguin Young Readers Group), New York",Young Adult / Middle Grade / Mystery,"Theodore Boone, Book 1",Hardcover,272,978-0-525-42384-3,First Edition,First Printing (number line to 1),$8,"Common; widely printed bestselling middle-grade series debut, not scarce",7.34,"Very Fine, hasDJ | Very Fine book and dust jacket","First novel in Grisham's Theodore Boone series, introducing thirteen-year-old aspiring lawyer Theo, who becomes entangled in the town's biggest murder trial when a classmate brings him crucial, undisclosed evidence.",,Own
Theodore Boone: The Abduction,John Grisham,2011,"Dutton Children's Books (Penguin Young Readers Group), New York",Young Adult / Middle Grade / Mystery,"Theodore Boone, Book 2",Hardcover,232,978-0-525-42557-1,First Edition,First Printing (number line to 1),$7,"Common; widely printed bestselling middle-grade series entry, not scarce",7.66,"Good, hasDJ | Good book and dust jacket","Second novel in Grisham's Theodore Boone series, in which thirteen-year-old aspiring lawyer Theo investigates the disappearance of his best friend April after she vanishes from her bedroom in the middle of the night, racing to uncover the truth as the police hit dead ends.",,Own
Theodore Boone: The Activist,John Grisham,2013,"Dutton Children's Books (Penguin Young Readers Group), New York",Young Adult / Middle Grade / Mystery,"Theodore Boone, Book 4",Hardcover,289,978-0-525-42577-9,First Edition,First Printing (number line to 1),$7,"Common; widely printed bestselling middle-grade series entry, not scarce",7.90,"Very Fine, hasDJ | Very Fine book and dust jacket","Fourth novel in Grisham's Theodore Boone series, in which Theo becomes swept up in a contentious political and environmental fight over a proposed highway bypass, uncovering corruption that puts him and those he loves at greater risk than ever before.",,Own
Thunder of Heaven,Tim LaHaye and Craig Parshall,2011,Zondervan,Fiction,The End,Hardcover,357,0310326395,First Edition,1st Printing,$8.00,Common; a widely distributed first-edition title with abundant surviving copies,86,"Near Fine: light wear, hasDJ, protectedDJ","Second novel in LaHaye and Parshall's End series, an end-times thriller following Joshua Jordan as world events edge toward the apocalypse foretold in Revelation.",No,Own
"Tolkien's Classics: The Hobbit, The Lord of the Rings (3 vols), and The Silmarillion (Five-Volume Leather Set)",J.R.R. Tolkien,1984,"The Easton Press, Norwalk, Connecticut",Fantasy / Mythopoeia,Middle-earth,"Hardcover (Leather Bound, Five-Volume Set)",0,,Easton Press Collector's Edition (Frontispieces by Michael Hague),1984 printing (Fellowship copyright page dated); later volumes/reissues undated,$275,Common; genuinely desirable as a complete matching leather Easton Press set in top condition,,"New | Mint (As New); five-volume matching leather set; gilt page edges, 22kt gold spine accents, moire endpapers, silk ribbon markers; perfect, as-new condition","A five-volume leather-bound collector's edition from The Easton Press comprising The Hobbit, the Lord of the Rings trilogy (The Fellowship of the Ring, The Two Towers, The Return of the King), and The Silmarillion. Bound in genuine leather with 22kt gold accents, gilt page edges, and moire fabric endpapers. Frontispiece illustrations by Michael Hague. A luxury fine-press reissue of Tolkien's Middle-earth saga.",,Own
Too Many Women,Rex Stout,1947,"Bantam Books, New York",Mystery / Detective Fiction,"Nero Wolfe, Book 12",Paperback,169,,Bantam Reprint Edition,"2nd Printing (New Edition), November 1955",$4,"Common; widely reprinted Nero Wolfe mystery, not scarce",8.24,"Fair, noDJ | Fair; rough overall wear, complete text, no dust jacket as issued","Nero Wolfe and Archie Goodwin investigate a suspicious hit-and-run death at a Wall Street engineering firm, with Archie going undercover among five hundred female employees to uncover the killer. Originally published by Viking Press in 1947.",,Own
Treason's Harbour,Patrick O'Brian,1983,"W. W. Norton & Company, New York",Historical Fiction / Nautical Fiction / Napoleonic Wars,"Aubrey-Maturin, Book 9",Paperback,368,0-393-30863-4,Norton Paperback Edition,1992 Norton paperback printing (number line to 5),$6,"Common; widely printed installment in a major historical fiction series, not scarce",8.80,"Good, noDJ | Good; trade paperback, no dust jacket as issued","Ninth novel in the Aubrey-Maturin series, set in Malta as Jack Aubrey awaits repairs to his frigate amid a hotbed of Napoleonic espionage, while Stephen Maturin works to root out a dangerous breach in British intelligence.",,Own
Two Years Before the Mast,Richard Henry Dana Jr.,1840,"The Franklin Library, Franklin Center, PA",Memoir / Nonfiction / Maritime / Adventure,,Hardcover,,,Franklin Library Collector's Edition,1983 Franklin Library printing,$15,"Common; mass-produced leatherbound collectible series, widely available, not scarce",8.06,"Near Fine, noDJ | Near Fine; bonded leather binding, gilt edges, no dust jacket as issued","Richard Henry Dana Jr.'s classic firsthand account of his two-year voyage as a common sailor aboard the brig Pilgrim around Cape Horn to California in 1834–1836, written after leaving Harvard due to declining eyesight. This Franklin Library edition reproduces illustrations by E. Boyd Smith from the 1911 Houghton Mifflin edition.",,Own
"Uncle Tom's Cabin; or, Life Among the Lowly",Harriet Beecher Stowe,1938,"The Heritage Press, New York",Classic Literature / Abolitionist Novel,,Hardcover,400,,"Heritage Press Edition (Introduction by Raymond Weaver, illustrated by Miguel Covarrubias)",1938 George Macy Companies issue,$45,Uncommon; collectible for Heritage Press and illustrated editions,8.8,Very Fine | Very Fine (VF): Hardcover in slipcase; minimal wear; includes Sandglass club leaflet,"Harriet Beecher Stowe's landmark 1852 anti-slavery novel, presented in a 1938 Heritage Press edition. This printing includes an introduction by Raymond Weaver and sixteen lithographs by Miguel Covarrubias, housed in a slipcase with accompanying Sandglass leaflet.",No,Own
Underwater Warfare in the Age of Sail,Alex Roland,1978,"Indiana University Press, Bloomington",History / Naval History / Military History,,Hardcover,237,0-253-31824-6,First Edition,First Printing (number line to 1),$8,"Uncommon; scholarly academic first edition on a specialized naval-history topic, modest print run",,"Fair, hasDJ | Fair book; Good dust jacket","A scholarly history of early submarine and mine warfare development from the age of sail through the early industrial era, examining the technological and tactical evolution of undersea combat. Includes bibliography and index.",,Own
Unfinished Tales of Numenor and Middle-earth,J.R.R. Tolkien,1980,"Houghton Mifflin Company, Boston",Fantasy / Mythopoeia,Middle-earth,Hardcover with dust jacket,472,0-395-29917-9,First American Edition,First Printing,$75,Common; large print run but genuinely collectible as a true first with full number line and dust jacket,8.06,"Fine, hasDJ | Fine book, nearly perfect; dust jacket almost perfect with only slight shelf wear","J.R.R. Tolkien's posthumously published collection of narratives and essays, edited by his son Christopher Tolkien, expanding on tales and lore from the First, Second, and Third Ages of Middle-earth, including material on Númenor, Galadriel, Gandalf, and the origins of the Ring's discovery.",,Own
Whirlwind,James Clavell,1986,"William Morrow and Company, Inc., New York",Historical Fiction / Asian Saga,"The Asian Saga, Book 5 (6th novel)",Hardcover with dust jacket,1147,0-688-06663-1,First Edition,First Printing,$15,"Common; bestseller with large print run, widely available",7.74,"Amazing shape, almost flawless dust jacket, includes original 1987 A.R.E. Cassette Club promotional insert | protectedDJ","Fifth novel in Clavell's Asian Saga, following the desperate evacuation of a British helicopter company's pilots and aircraft from Iran during the 1979 revolution",,Own
